id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
791437731317959752,Apartamento na ilha da Gigóia,98940453,Amanda,,Barra da Tijuca,-23.003.401.985.388.100,-43.308.555.399.790.200,Entire home/apt,320,1,0,,,1,364
763985912500283867,Suíte Inteira Próximo a Praia,401404178,Vinícius,,Recreio dos Bandeirantes,-23.026.980.532.397.800,-43.473.889.119.923.100,Private room,279,1,0,,,2,359
53013932,Copa ocean front 3 suítes,323602412,Fernanda,,Copacabana,-2.298.491,-4.318.957,Entire home/apt,3571,3,0,,,9,161
19790169,"Quartos sofisticados em Ipanema, Rio de Janeiro",139744801,Andrea,,Ipanema,-2.297.987,-4.319.958,Private room,400,1,104,2022-11-27,02.08,2,287
867206,Charming and green Copacabana,3738898,Daniela,,Copacabana,-229.663,-4.318.938,Entire home/apt,437,5,29,2022-04-27,0.27,1,331
22669630,40mm,111159118,Maria,,Recreio dos Bandeirantes,-2.302.409,-4.347.444,Private room,120,15,0,,,1,180
2599345,Apartamento 3 quartos no leblon,12234661,Edna,,Leblon,-2.297.833,-4.321.897,Entire home/apt,1000,3,3,2022-09-12,0.03,3,322
38191215,Quarto privativo família - 5 min do metrô,32168832,Marcus,,Botafogo,-2.295.405,-4.318.346,Private room,972,1,34,2022-07-24,0.84,9,61
2141524,OLIMPÍADAS COM O MÁXIMO DE CONFORTO,10929059,Ylem,,Recreio dos Bandeirantes,-2.302.383,-4.348.753,Entire home/apt,2639,1,0,,,1,365
20864193,2 QUARTOS c/ GARAGEM e Segurança 24h Wi-Fi 115mb/s,83831825,Mi Casa Su Casa,,Camorim,-229.793,-4.341.674,Entire home/apt,1995,3,50,2022-11-19,0.80,8,314
14185545,Condomínio fechado Ecolife Recreio,85965423,Severino,,Recreio dos Bandeirantes,-2.301.174,-4.347.169,Entire home/apt,600,7,0,,,1,363
48927741,Room 4 at Chez Georges,111165788,Letícia,,Santa Teresa,-2.292.121,-4.318.542,Private room,2229,3,0,,,8,365
747778783968644122,"Quarto ""descolado"" em Santa Teresa.",474500684,Davy,,Santa Teresa,-2.291.813,-4.318.605,Private room,120,2,0,,,6,357
26222118,OTIMO NOSSA SENHORA COPACABANA,193136508,Pereira,,Copacabana,-2.296.699,-431.787,Entire home/apt,139,6,0,,,2,2
